geneName	h1_T0	h1_T12	h2_T0	h2_T12
AL359853.1	0	0	0	0
AL391152.1	88	130	57	23
AL451051.1	0	0	0	0
AL512791.1	0	0	0	0
AL589765.1	0	0	0	0
AL591708.1	0	0	0	0
ALAD	484	363	485	376
ALAS1	287	339	241	361
ALB	2	0	0	0
ALCAM	1917	2333	3170	2130
ALDH16A1	46	20	26	29
ALDH18A1	706	1442	668	1755
ALDH1A1	0	0	0	1
ALDH1A2	2	0	0	0
ALDH1A3	487	496	315	284
ALDH1B1	577	863	714	969
ALDH1L2	3300	2182	2567	1109
ALDH3A1	50	10	49	32
ALDH3A2	592	101	381	76
ALDH3B2	8	7	10	3
ALDH4A1	72	41	63	54
ALDH5A1	13	7	4	1
ALDH6A1	153	78	98	60
ALDH8A1	2	0	3	0
ALDH9A1	599	507	653	494
ALDOA	810	1407	1142	2941
ALDOB	1	0	0	0
ALDOC	65	47	119	242
ALG12	83	95	61	135
ALG14	44	59	44	68
ALG2	28	41	17	40
ALG5	160	260	180	283
ALG6	43	64	40	27
ALG8	162	274	136	275
ALG9	137	150	112	156
ALK	0	1	0	1
ALKBH1	79	65	66	84
ALKBH2	53	69	43	110
ALKBH3	112	124	134	161
ALKBH4	77	69	74	114
ALKBH5	763	1047	772	1702
ALKBH6	42	30	42	37
ALKBH7	83	44	94	83
ALKBH8	137	296	92	130
ALLC	0	0	0	0
ALMS1	172	186	87	62
ALOX12	45	8	23	7
ALOX12B	0	0	0	0
ALOX15	0	0	0	0
ALOX15B	0	1	0	0
ALOX5	0	0	0	0
ALOX5AP	0	2	0	1
ALOXE3	0	0	0	0
ALPK1	196	63	144	52
ALPK2	1098	1455	511	371
ALPK3	9	3	3	1
ALPL	21	16	0	2
ALS2CL	102	81	58	30
ALS2CR11	0	4	2	2
ALS2CR12	10	4	4	2
ALS2CR8	133	45	101	21
ALX1	0	1	0	0
ALX3	6	8	11	6
ALX4	0	0	2	1
ALYREF	140	428	184	608
AMBN	0	0	0	0
AMBP	2	1	5	6
AMBRA1	169	181	142	185
AMD1	220	1234	202	782
AMDHD1	0	0	0	0
AMELX	0	0	0	0
AMFR	1077	878	887	793
AMHR2	0	0	0	0
AMICA1	0	0	0	0
AMIGO1	74	23	61	4
AMIGO2	165	782	167	600
AMIGO3	0	0	0	0
AMMECR1	9	18	6	8
AMMECR1L	453	627	403	600
AMN1	38	36	32	16
AMOT	147	15	76	9
AMOTL1	1256	1908	1409	1782
AMOTL2	6157	4361	5416	2772
AMPD1	0	0	1	0
AMPD2	569	1099	588	1385
AMPD3	129	356	67	256
AMPH	124	41	39	33
AMT	92	15	72	8
AMTN	0	0	0	0
AMZ1	6	29	9	30
AMZ2	147	102	124	119
ANAPC1	4	6	3	6
ANAPC10	31	45	31	25
ANAPC11	80	111	95	176
ANAPC13	527	519	548	371
ANAPC16	462	314	589	356
ANAPC2	307	252	289	278
ANAPC4	196	185	167	104
ANGEL1	200	98	158	66
ANGEL2	157	134	117	88
ANGPT1	471	259	380	171
ANGPT2	4	2	2	1
ANGPT4	1	1	0	0
ANGPTL1	80	30	9	2
ANGPTL2	913	151	561	214
ANGPTL4	7	366	5	261
ANGPTL5	5	8	10	1
ANGPTL7	0	0	0	0
ANK1	131	77	17	6
ANK2	501	149	211	90
ANK3	2	0	1	1
ANKAR	43	21	27	12
