geneName	h1_T0	h1_T12	h2_T0	h2_T12
MAPK4	1	0	0	0
MAPK7	561	399	461	524
MAPK8IP1	38	26	51	39
MAPK8IP2	1	0	2	0
MAPK8IP3	699	494	549	280
MAPK9	167	207	196	232
MAPKAP1	868	1983	702	1639
MAPKAPK2	405	464	345	583
MAPKAPK3	300	548	205	520
MAPKAPK5	146	283	156	253
MAPRE1	24	72	25	65
MAPRE2	365	281	264	198
MAPRE3	70	37	62	51
MAPT	31	2	41	6
MARC1	4	8	5	3
MARC2	25	8	12	8
MARCH1	60	58	33	11
MARCH10	4	8	1	0
MARCH11	0	0	0	0
MARCH2	36	21	68	38
MARCH3	9	45	7	30
MARCH4	439	1173	906	863
MARCH5	149	153	132	133
MARCH6	1266	859	918	438
MARCH7	974	1254	681	400
MARCH8	600	254	499	224
MARCH9	38	18	52	24
MARCKS	4907	2928	4410	1955
MARCKSL1	42	84	51	168
MARCO	0	0	0	0
MARK1	6	9	0	0
MARK3	577	698	490	556
MARK4	313	248	297	374
MARS	1924	1382	2216	1631
MARVELD2	32	17	21	15
MARVELD3	0	0	0	0
MAS1	0	0	0	0
MASP1	940	637	1292	1256
MASP2	59	9	31	7
MAST1	0	0	0	0
MAST2	858	660	584	444
MAST3	146	68	163	68
MAST4	73	80	28	22
MASTL	89	131	96	78
MAT1A	0	0	0	0
MAT2A	741	893	634	735
MAT2B	521	527	445	465
MATK	0	0	0	1
MATN1	9	4	6	8
MATN2	92	287	134	341
MATN3	10	8	18	6
MATN4	0	0	0	0
MAU2	547	468	553	450
MAVS	509	456	338	339
MAX	557	721	425	709
MAZ	384	524	372	680
MB	0	0	0	0
MB21D1	16	31	15	19
MB21D2	92	107	89	76
MBD1	520	515	404	516
MBD2	378	438	481	319
MBD3	266	379	310	460
MBD3L1	0	0	0	0
MBD5	143	80	130	32
MBD6	219	130	195	117
MBIP	113	128	121	62
MBL2	0	0	0	0
MBNL1	3094	2083	2818	1036
MBNL2	810	693	627	297
MBNL3	42	20	9	0
MBOAT1	20	5	70	6
MBOAT2	369	640	286	289
MBOAT4	0	1	3	0
MBTD1	70	38	22	22
MBTPS1	2141	1767	2223	2140
MC2R	0	0	0	0
MC4R	70	33	65	55
MCAM	13	19	39	28
MCAT	77	83	81	131
MCC	196	126	96	40
MCCC1	190	114	177	104
MCCC2	79	107	46	70
MCCD1	1	1	1	0
MCEE	74	58	54	42
MCF2L	4	4	2	5
MCF2L2	2	0	2	0
MCHR1	1	7	1	34
MCHR2	2	0	0	0
MCL1	3267	4070	2464	2670
MCM10	0	49	3	28
MCM2	66	196	42	177
MCM3	119	508	96	404
MCM3AP	827	1119	662	875
MCM4	109	584	71	339
MCM5	54	245	59	215
MCM6	120	401	108	286
MCM7	465	397	342	375
MCM8	39	92	29	19
MCM9	100	117	66	74
MCMBP	482	866	412	705
MCOLN1	203	141	175	155
MCOLN2	1	3	0	1
MCOLN3	14	4	1	0
MCPH1	134	190	102	143
MCRS1	231	265	217	395
MCTP1	8	5	0	1
MCTP2	28	8	17	4
MCTS1	83	134	78	127
MCU	382	321	329	269
MDC1	73	109	52	68
MDFI	1	2	0	1
MDFIC	1312	1458	1250	675
MDGA1	206	284	178	235
MDGA2	0	0	0	0
MDH1	674	1008	656	984
MDH1B	8	0	4	2
MDH2	450	706	511	1051
MDM1	143	56	82	24
MDM2	534	406	226	189
MDM4	40	32	20	20
ME1	321	201	164	77
ME2	8	7	9	6
ME3	140	80	90	54
MEA1	489	725	601	1306
MEAF6	418	426	371	385
MECOM	53	69	17	7
MECP2	886	614	698	545
MECR	93	141	109	257
MED1	670	878	485	550
MED10	195	325	218	330
MED11	69	72	91	87
MED12	248	163	161	134
MED12L	6	3	1	2
MED13	888	755	426	320
MED13L	1614	1519	1201	979
MED14	364	391	204	217
MED15	732	963	801	1042
MED16	144	106	116	102
MED17	179	285	193	261
MED18	96	81	73	90
MED20	113	83	96	88
MED21	228	263	162	159
MED22	195	262	188	257
MED23	421	518	248	247
MED25	164	127	169	125
MED27	18	51	30	74
MED28	63	53	66	63
MED29	40	49	40	76
MED30	21	34	50	45
MED31	86	141	69	163
MED4	275	400	267	269
MED6	169	179	148	144
MED7	111	83	102	40
MED8	254	508	224	561
MED9	106	112	121	141
MEF2A	551	664	502	500
MEF2B	42	50	45	67
MEF2C	43	95	36	158
MEF2D	549	568	557	780
MEFV	1	0	0	0
MEGF10	0	0	0	0
MEGF11	1	1	0	1
MEGF8	1286	862	1000	715
MEGF9	53	27	29	18
MEIS1	140	133	152	87
MEIS2	446	277	496	312
MELK	17	56	20	33
MEN1	49	64	62	57
MEOX1	0	3	0	0
MEOX2	12	4	9	2
MEP1A	0	0	0	0
MEP1B	0	1	0	0
MEPCE	410	373	291	369
MEPE	1	0	0	0
MERTK	2	1	0	1
MESDC1	62	143	84	116
MESDC2	178	303	209	220
MESP1	1	0	0	0
MESP2	4	0	0	1
MET	495	1388	546	647
METAP1	393	762	411	661
METAP1D	122	97	112	89
METAP2	673	1278	656	531
METTL1	56	209	81	409
METTL10	83	108	90	56
METTL11A	221	458	230	705
METTL11B	0	0	0	0
METTL13	279	403	248	405
METTL14	176	155	125	50
METTL15	7	10	8	1
METTL16	47	54	31	36
METTL17	233	188	167	183
METTL18	25	27	47	10
METTL20	29	15	19	20
METTL21A	69	47	55	43
METTL21B	99	121	97	144
METTL21C	0	0	0	0
METTL22	131	139	134	187
METTL23	116	176	101	168
METTL3	398	452	334	357
METTL4	129	89	108	50
METTL5	186	246	161	135
METTL6	95	124	107	72
METTL7A	22	2	24	6
METTL7B	2	7	3	3
METTL8	40	34	17	26
METTL9	493	738	413	683
MEX3A	5	2	0	6
MEX3B	190	206	85	117
MEX3C	484	596	503	421
MEX3D	63	48	46	37
MFAP1	353	423	281	351
MFAP2	179	135	247	248
MFAP3	553	975	460	563
MFAP3L	241	769	228	389
MFAP5	5006	5026	3941	2256
MFF	459	399	361	282
MFI2	40	32	35	29
MFN1	287	415	231	191
MFN2	922	1479	821	1522
MFNG	1	0	0	0
MFSD1	573	985	431	669
MFSD10	269	261	307	286
MFSD11	128	97	106	84
MFSD12	64	259	68	274
MFSD2A	5	34	5	35
MFSD2B	1	1	0	0
MFSD3	59	63	56	58
MFSD4	6	3	2	0
MFSD5	315	297	261	361
MFSD6	129	107	80	27
MFSD6L	0	0	0	0
MFSD7	23	55	26	49
MFSD8	172	199	120	91
MGAT1	1245	1428	1478	1599
MGAT3	0	0	1	0
MGAT4A	0	1	0	0
MGAT4B	977	1001	812	1037
MGAT4C	1	0	0	0
MGAT5	233	408	103	251
MGAT5B	8	12	3	14
MGEA5	1931	1175	1449	696
MGLL	516	3760	527	2929
MGMT	115	97	132	167
MGRN1	167	161	187	253
MGST2	28	26	38	32
MGST3	415	358	511	628
MIA	64	44	70	63
MIA2	0	0	0	0
MIB1	317	317	144	113
MICAL1	546	337	718	269
MICAL2	461	5860	754	4657
MICALCL	2	33	1	13
MICALL1	358	556	301	346
MICU1	108	85	86	92
MID1	372	128	285	80
MID1IP1	339	271	424	335
MID2	67	66	30	45
MIEN1	200	239	258	398
MIER1	544	470	357	215
MIER2	47	59	40	83
MIER3	271	289	212	151
MIF4GD	130	99	140	120
MIIP	60	45	53	42
MINK1	639	619	533	460
MINOS1	179	283	179	282
MINPP1	225	256	199	182
MIOS	141	465	109	264
MIOX	9	0	1	0
MIP	10	10	12	18
MIPEP	58	64	37	65
MIPOL1	58	69	25	16
MIR1-1	0	0	0	0
MIR1-2	0	0	0	0
MIR101-1	0	0	0	0
MIR101-2	0	0	0	0
MIR103A1	0	1	0	0
MIR103A2	0	2	1	2
MIR106A	0	0	0	0
MIR106B	0	0	0	0
MIR107	0	0	0	0
MIR10A	1	0	0	0
MIR10B	0	0	0	0
MIR122	0	0	0	0
MIR1224	0	0	0	0
MIR1225	6	1	2	2
MIR1226	1	0	0	0
MIR1227	0	0	0	0
MIR124-2	0	0	0	0
MIR127	0	0	0	0
MIR128-1	0	0	0	0
MIR128-2	0	0	0	0
MIR129-1	0	0	0	0
MIR129-2	0	0	0	0
MIR1302-8	0	0	0	0
MIR1306	0	0	0	0
MIR1307	0	0	0	1
MIR130B	0	0	0	0
MIR133A2	0	0	0	0
MIR133B	0	0	0	0
MIR134	0	0	0	0
MIR135A1	0	0	0	0
MIR135A2	0	0	0	0
MIR135B	0	0	0	0
MIR136	0	0	0	0
MIR137	1	0	0	0
MIR138-2	0	0	0	0
MIR139	0	0	0	0
MIR140	0	0	0	0
MIR141	0	0	0	0
MIR143	2	2	0	0
MIR145	7	5	6	1
MIR146A	0	0	0	0
MIR148A	0	0	0	0
MIR148B	0	0	0	0
MIR150	0	0	0	0
MIR151A	0	0	0	0
MIR152	0	2	0	0
MIR154	0	0	0	0
MIR155	0	2	1	7
MIR15A	1	0	0	0
MIR15B	0	0	0	0
MIR16-1	0	0	0	0
MIR16-2	0	0	0	0
MIR181A1	0	0	0	0
MIR181A2	0	0	0	0
MIR181B1	0	0	0	0
MIR181B2	0	0	0	0
MIR181C	0	0	0	0
MIR181D	0	0	0	0
MIR182	0	0	0	0
MIR183	0	0	0	0
MIR184	0	0	0	0
MIR185	0	0	0	0
MIR186	7	6	5	1
MIR190A	0	0	0	0
MIR190B	0	0	0	0
MIR191	0	0	0	0
MIR192	0	0	0	0
MIR194-1	0	0	0	0
MIR194-2	0	0	0	0
MIR195	0	1	0	1
MIR196A1	0	0	0	0
MIR196A2	0	0	0	0
MIR199A1	0	2	3	1
MIR199A2	18	22	20	13
MIR19B2	0	0	0	0
MIR200A	0	0	0	0
MIR200C	0	0	0	0
MIR203	0	0	0	0
MIR204	0	0	0	0
MIR205	0	0	0	0
MIR206	0	0	0	0
MIR208A	0	0	0	0
MIR208B	0	0	0	0
MIR20B	0	0	0	0
MIR21	9	2	5	2
MIR210	1	2	1	0
MIR214	16	29	41	21
MIR215	0	0	1	0
MIR216A	0	0	0	0
MIR216B	0	0	0	0
MIR218-1	0	0	0	0
MIR218-2	0	0	0	0
MIR219-1	4	1	0	1
MIR219-2	0	0	0	0
MIR221	26	22	30	10
MIR222	4	2	1	3
MIR223	0	0	0	0
MIR224	0	0	0	0
MIR23A	0	2	1	2
MIR23B	2	0	2	0
MIR24-2	2	8	1	5
MIR26A1	0	0	0	0
MIR26A2	1	0	3	1
MIR26B	0	0	0	0
MIR27A	1	4	2	2
MIR27B	1	0	3	3
MIR28	0	0	0	0
MIR296	0	1	0	0
MIR298	0	0	1	0
MIR299	0	0	0	0
MIR29A	0	0	1	0
MIR29B1	0	0	0	0
MIR29B2	1	0	2	0
MIR29C	3	0	6	1
MIR301A	0	0	0	0
MIR301B	0	0	0	0
MIR302A	0	0	0	0
MIR302B	0	0	0	1
MIR302C	0	0	0	0
MIR302D	0	1	1	0
MIR30A	0	0	0	0
MIR30B	0	0	0	0
MIR30C1	0	0	0	0
MIR30C2	1	0	0	0
MIR30D	0	0	0	0
MIR30E	0	0	0	0
MIR31	0	0	0	0
MIR32	0	0	0	0
MIR320A	0	1	0	0
MIR320B1	0	0	0	0
MIR320B2	0	0	0	0
MIR320E	0	1	0	0
MIR323A	0	0	0	0
MIR324	3	2	1	2
MIR331	0	0	0	0
MIR335	0	0	0	0
MIR337	0	0	0	0
MIR339	0	1	1	0
MIR33B	0	0	0	0
MIR340	0	0	0	0
MIR342	0	0	0	0
MIR346	0	0	0	0
MIR34A	10	2	3	2
MIR34B	0	0	0	0
MIR34C	1	0	0	0
MIR361	0	0	0	0
MIR365A	0	0	0	0
MIR365B	0	0	0	0
MIR367	0	0	0	0
MIR369	0	1	0	0
MIR370	0	0	0	0
MIR372	0	0	0	0
MIR374A	0	0	0	0
MIR374B	1	0	0	1
MIR375	0	0	0	0
MIR377	0	0	0	0
MIR378A	0	0	0	0
MIR381	1	0	0	0
MIR383	0	0	0	0
MIR409	0	0	0	0
MIR410	0	0	0	0
MIR412	2	0	0	0
MIR422A	0	0	0	0
MIR423	0	2	0	0
MIR424	6	8	5	1
MIR425	0	0	0	0
MIR431	0	0	0	0
MIR432	0	0	0	0
MIR433	0	0	0	0
MIR448	0	0	0	0
MIR449A	0	0	0	0
MIR449B	0	0	0	0
MIR450A1	2	0	0	0
MIR450A2	0	0	1	0
MIR450B	0	0	0	0
MIR452	0	0	0	0
MIR454	0	0	0	0
MIR455	0	3	0	1
MIR484	0	0	0	0
MIR486	0	0	0	0
MIR487A	0	0	0	0
MIR487B	0	0	0	0
MIR488	0	0	0	0
MIR489	0	0	0	0
MIR490	0	0	0	0
MIR491	0	0	1	0
MIR494	0	0	0	0
MIR496	0	0	0	0
MIR497	0	0	0	0
MIR498	0	0	0	0
MIR499A	0	0	0	0
MIR503	4	0	1	0
MIR504	0	0	0	0
MIR505	0	0	0	0
MIR520A	0	0	0	0
MIR525	0	0	0	0
MIR539	0	0	0	0
MIR544A	0	0	0	0
MIR548F2	0	0	0	0
MIR549	0	0	0	0
MIR551A	0	0	0	0
MIR551B	0	0	0	0
MIR554	0	0	0	0
MIR556	0	0	0	0
MIR557	0	0	0	0
MIR562	0	0	0	0
MIR563	0	0	0	0
MIR569	0	0	0	0
MIR577	0	0	0	0
MIR579	0	0	0	0
MIR580	0	0	0	0
MIR581	0	0	0	0
MIR582	0	0	0	0
MIR584	0	0	0	0
MIR586	0	0	0	0
MIR589	1	0	1	1
MIR590	3	4	2	2
MIR592	0	0	0	0
MIR593	1	0	0	0
MIR599	0	0	0	0
MIR612	6	0	4	0
MIR615	0	0	0	0
MIR624	0	0	0	0
MIR628	1	1	6	0
MIR632	0	0	0	0
MIR633	0	0	0	0
MIR636	0	0	1	1
MIR638	0	0	0	0
MIR640	0	0	0	0
MIR648	0	0	0	0
MIR652	0	0	0	0
MIR653	0	0	0	0
MIR656	2	0	0	0
MIR665	0	0	0	0
MIR668	0	0	0	0
MIR671	0	0	0	0
MIR7-1	8	4	8	1
MIR7-2	0	0	0	0
MIR7-3	0	0	0	0
MIR708	0	0	0	0
MIR744	0	0	0	0
MIR760	0	0	0	0
MIR765	1	0	0	0
MIR767	0	0	0	0
MIR770	7	13	4	1
MIR802	0	0	0	0
MIR873	0	0	0	0
MIR874	0	0	0	0
MIR875	0	0	0	0
MIR876	0	0	0	0
MIR877	0	0	0	0
MIR885	0	0	0	0
MIR887	0	0	1	0
MIR9-2	0	0	0	0
MIR9-3	0	0	0	0
MIR93	2	1	0	2
MIR934	0	0	0	0
MIR936	0	0	0	0
MIR937	0	0	0	0
MIR939	3	2	3	3
MIR940	4	0	1	1
MIR942	0	0	0	0
MIR944	0	0	0	0
MIR96	0	0	0	0
MIR98	0	1	0	0
MIRLET7A1	0	0	0	0
MIRLET7A3	0	3	2	2
MIRLET7B	2	4	7	7
MIRLET7C	0	0	0	0
MIRLET7D	1	1	6	0
MIRLET7E	0	0	0	0
MIRLET7F1	1	0	0	1
MIRLET7F2	0	0	0	0
MIRLET7G	0	0	0	0
MIRLET7I	0	1	1	0
MIS18A	21	45	21	25
MITD1	79	71	66	41
MITF	7	3	7	1
MIXL1	0	0	0	0
MKI67IP	199	649	175	334
MKKS	195	222	141	182
MKL1	257	194	309	200
MKL2	165	107	116	60
MKLN1	324	333	175	186
MKNK2	537	124	410	125
MKRN1	192	132	202	127
MKRN2	361	451	305	337
MKRN3	1	1	0	0
MKS1	71	53	56	62
MKX	1471	568	1750	461
MLANA	3	4	0	0
MLC1	0	0	0	0
MLEC	1982	4622	1598	4888
MLF1	50	83	54	43
MLF1IP	15	59	22	19
MLF2	631	1166	778	1635
MLH1	254	342	228	367
MLH3	309	183	138	56
MLIP	0	0	0	0
MLKL	19	79	12	50
MLL	1617	960	876	429
MLL2	711	678	421	411
MLL3	772	681	441	334
MLL4.1	342	242	237	241
MLL5	891	745	558	315
MLLT1	306	299	253	308
MLLT10	323	272	280	180
MLLT11	84	94	45	44
MLLT3	250	95	199	113
MLLT4	198	180	160	126
MLLT6	351	155	218	165
MLN	1	0	1	0
MLPH	25	184	16	98
MLST8	116	116	126	163
MLX	264	576	262	850
MLXIP	154	329	153	351
MLXIPL	1	0	6	1
MLYCD	32	18	23	29
MMAA	60	64	38	28
MMAB	151	54	144	99
MMACHC	13	21	4	32
MMADHC	249	519	297	399
MMD	51	88	42	74
MME	4076	2707	1941	800
MMEL1	12	18	19	41
MMGT1	464	640	398	452
MMP1	425	2182	536	4400
MMP13	0	0	0	0
MMP14	3286	5504	1892	3916
MMP15	49	23	29	21
MMP16	168	1004	56	304
MMP17	92	68	67	103
MMP19	219	166	209	188
MMP2	27426	22710	25727	26347
MMP20	0	0	0	0
MMP21	0	0	1	0
MMP23B	0	0	0	0
MMP24	232	226	177	250
MMP25	4	4	8	1
MMP26	0	0	0	0
MMP27	11	2	6	2
MMP28	0	0	2	0
MMP3	1074	3472	761	1572
MMP7	4	5	5	4
MMP8	1	3	0	0
MMP9	6	12	0	2
MMRN1	0	0	0	0
MMRN2	12	3	5	4
MNAT1	124	270	123	139
MND1	4	4	1	0
MNDA	0	0	0	0
MNS1	43	19	33	4
MNT	123	89	119	89
MOB1B	68	188	30	50
MOB3A	21	33	21	22
MOB3B	0	0	0	0
MOB3C	161	117	157	154
MOB4	20	46	17	11
MOBP	0	0	0	0
MOCOS	185	49	388	165
MOCS1	107	73	109	90
MOCS2	325	366	336	271
MOG	0	0	0	0
MOGAT1	0	0	0	0
MOGAT2	0	0	0	0
MOGAT3	0	0	0	0
MOGS	459	884	466	820
MOK	73	371	49	161
MON1A	57	73	71	107
MON1B	213	210	219	205
MON2	807	868	463	405
MORC1	0	0	0	0
MORC2	301	333	260	306
MORC3	376	365	331	176
MORC4	85	133	79	112
MORF4L1	982	1153	1119	1236
MORF4L2	2303	4791	2683	3942
MORN1	14	12	14	15
MORN2	98	134	113	128
MORN3	11	0	3	3
MORN4	127	103	144	95
MOSPD2	607	516	230	155
MOSPD3	53	33	91	89
MOV10	227	118	211	168
MOXD1	4404	3406	7352	6093
MPDU1	160	286	172	356
MPDZ	987	592	606	297
MPG	281	321	338	529
MPHOSPH10	223	496	142	271
MPHOSPH6	14	50	7	22
MPHOSPH8	258	179	174	109
MPHOSPH9	159	164	90	47
MPND	34	22	38	28
MPO	0	2	0	0
MPP1	81	120	63	97
MPP3	74	182	84	125
MPP4	23	50	31	48
MPP5	507	928	352	404
MPP6	65	144	35	79
MPP7	38	10	35	13
MPPE1	62	26	97	78
MPPED2	84	26	0	1
MPRIP	235	427	178	306
MPST	255	151	281	149
MPV17	369	329	333	472
MPZ	7	4	3	1
MPZL1	155	237	143	215
MPZL2	0	0	0	0
MPZL3	0	6	0	1
MR1	227	146	185	148
MRAP	14	54	17	47
MRAP2	0	0	0	4
MRAS	732	2360	661	2577
MRC2	8931	6354	7439	5719
MRE11A	62	55	43	18
MREG	18	51	10	26
MRFAP1L1	736	643	629	484
MRGPRD	1	0	0	0
MRGPRF	256	100	258	142
MRGPRG	0	0	0	0
MRGPRX1	0	0	0	0
MRGPRX2	0	0	0	0
MRI1	104	97	84	86
MRM1	4	7	4	6
MRO	3	0	0	0
MRS2	132	158	85	133
MRVI1	463	212	543	241
MS4A1	0	0	0	0
MS4A10	0	0	0	0
MS4A12	0	0	0	0
MS4A13	0	0	0	0
MS4A14	0	0	0	0
MS4A15	0	0	0	0
MS4A2	0	0	0	0
MS4A3	0	0	0	0
MS4A4A	0	0	0	0
MS4A4E	0	0	0	0
MS4A5	0	0	0	0
MS4A6A	0	0	0	0
MS4A6E	0	0	0	0
MS4A8B	0	0	0	0
MSC	204	210	195	301
MSGN1	0	0	0	0
MSH3	135	174	108	131
MSH4	0	1	2	1
MSH6	494	775	325	486
MSI1	0	0	0	0
MSI2	88	68	21	33
MSL1	841	702	689	548
MSL2	170	199	120	119
MSL3	145	139	100	145
MSLN	0	0	1	0
MSLNL	0	0	0	0
MSMB	0	0	0	0
MSMO1	1181	465	874	390
MSMP	126	128	97	107
MSR1	0	1	6	2
MSRB2	131	105	163	162
MSRB3	2076	2931	1977	1783
MST1R	24	8	3	2
MST4.1	6	30	8	6
MSTN	191	53	117	14
MSTO1	10	34	10	56
MSX1	164	175	238	278
MSX2	21	14	15	23
MT1B	0	0	0	0
MT3	0	0	0	0
MT4	0	0	0	0
MTA2	461	708	403	832
MTA3	183	124	156	128
MTAP	90	219	99	198
MTBP	49	48	36	27
MTCH1	1266	2265	1346	2870
MTCP1	17	10	17	4
MTCP1NB	0	0	0	0
MTDH	1841	3179	1576	1712
MTERF	77	61	54	19
MTERFD1	98	141	67	63
MTERFD2	115	116	107	100
MTERFD3	108	60	87	34
MTF1	147	207	99	153
MTF2	98	152	80	71
MTFMT	33	38	33	49
MTFR1	119	332	126	301
MTHFD1	122	197	71	150
MTHFD1L	489	676	485	734
MTHFD2L	18	41	21	21
MTHFR	138	53	90	63
MTHFSD	19	24	18	11
MTIF2	149	206	89	91
MTIF3	280	278	278	203
MTL5	0	0	0	0
MTMR1	137	213	67	60
MTMR11	203	105	177	96
MTMR12	171	241	103	155
MTMR14	128	112	124	130
MTMR2	402	735	337	459
MTMR3	861	464	765	364
MTMR6	405	763	343	503
MTMR7	16	15	12	6
MTMR8	0	0	0	0
MTNR1A	0	0	0	0
MTNR1B	0	0	0	0
MTOR	561	885	427	557
MTPAP	65	147	67	76
MTPN	2870	4261	2314	2680
MTR	252	411	148	182
MTRR	242	515	206	428
MTSS1	8	14	3	9
MTSS1L	609	265	648	284
MTTP	0	0	1	0
MTUS1	8	0	20	1
MTUS2	0	3	0	6
MTX1	34	33	26	57
MTX2	166	257	163	185
MTX3	255	303	162	142
MUC1	27	9	40	22
MUC13	0	0	0	0
MUC15	0	0	0	1
MUC19	0	0	0	0
MUC2	0	0	0	0
MUC7	0	0	0	0
MUDENG	219	262	176	129
MUL1	358	462	334	417
MUM1	131	138	123	146
MUM1L1	0	0	0	0
MURC	9	163	13	51
MUS81	207	214	235	232
MUSK	0	1	0	0
MUT	351	298	369	296
MUTYH	42	36	56	57
MVD	283	155	186	193
MVK	105	43	106	70
MVP	1242	1472	1344	1632
MX1	12	0	11	5
MXD1	190	239	98	93
MXD3	251	732	252	1045
MXD4	708	526	666	639
MXI1	581	271	550	395
MXRA7	10	18	12	22
MYADM	452	449	860	619
MYB	0	6	0	1
MYBBP1A	179	525	157	551
MYBL1	392	731	301	149
MYBL2	4	15	2	10
MYBPC1	0	0	0	0
MYBPC3	0	0	0	0
MYBPH	0	1	0	0
MYBPHL	0	0	0	0
MYC	596	1114	532	914
MYCBP2	1730	1160	1050	478
MYCBPAP	31	1	18	1
MYCL1	1	1	0	3
MYCN	0	0	0	0
MYCT1	0	3	0	0
MYD88	322	327	289	462
MYEF2	52	23	17	8
MYEOV2	96	168	160	343
MYF5	0	0	0	0
MYF6	0	0	0	0
MYH1	1	0	4	0
MYH10	1256	1245	900	823
MYH11	33	29	43	20
MYH13	0	0	0	0
MYH14	0	0	0	0
MYH15	3	7	0	0
MYH2	12	1	13	3
MYH3	17	13	21	7
MYH4	0	0	1	1
MYH6	0	0	0	0
MYH7B	20	10	22	9
MYH8	0	0	0	0
MYH9	7543	11575	8273	9529
MYL1	0	0	0	0
MYL12B	1366	2063	2334	2398
MYL3	3	2	4	5
MYL4	0	1	1	0
MYL5	66	37	80	47
MYL6B	235	219	274	388
MYL7	1	0	0	0
MYL9	6056	7990	10223	14646
MYLIP	95	23	109	35
MYLK2	0	1	0	0
MYLK3	0	0	0	1
MYLK4	1	3	7	3
MYLPF	0	1	1	0
MYNN	153	230	135	116
MYO10	428	5054	270	2960
MYO15A	17	1	9	3
MYO15B	30	4	31	6
MYO16	11	1	2	0
MYO18A	757	531	648	475
MYO19	183	372	151	360
MYO1A	0	0	0	0
MYO1B	6250	5949	5108	2878
MYO1C	1270	1261	1355	1130
MYO1D	2133	2368	2313	3223
MYO1E	1160	850	522	652
MYO1F	8	4	5	1
MYO1G	0	1	0	0
MYO3A	0	0	0	0
MYO3B	0	0	0	1
MYO5A	623	919	351	347
MYO5B	0	0	0	0
MYO5C	3	1	1	1
MYO6	512	353	417	233
MYO7A	0	1	0	1
MYO9A	611	564	453	263
MYO9B	838	1887	744	1338
MYOC	1	2	21	15
MYOCD	0	7	0	0
MYOD1	0	0	0	0
MYOF	6973	5708	5278	4757
MYOG	0	0	0	0
MYOM1	19	1	14	0
MYOM2	4	11	11	11
MYOM3	4	93	3	108
MYOT	2	2	0	0
MYOZ1	0	4	1	14
MYOZ2	1	0	1	0
MYOZ3	1	1	2	0
MYPN	12	355	6	171
MYPOP	15	6	6	10
MYRIP	106	15	194	25
MYSM1	564	644	318	161
MYT1	0	0	0	0
MYT1L	0	0	0	0
MZF1	166	61	125	61
MZT1	7	6	2	3
N4BP1	595	482	603	477
N4BP2	134	136	108	44
N4BP2L1	113	18	74	15
N4BP3	1	3	0	4
N6AMT2	37	43	45	65
NAA10	121	236	127	423
NAA11	0	0	0	0
NAA15	347	965	223	396
NAA20	82	183	74	130
NAA25	205	460	180	182
NAA30	337	376	236	182
NAA35	166	219	101	128
NAA38	137	149	125	55
NAA60	373	272	403	350
NAAA	159	130	133	102
NAALAD2	2	3	1	0
NAALADL1	34	25	29	10
NAB2	463	832	331	1057
NACC2	64	68	44	55
NADK	214	269	164	239
NADKD1	211	246	140	120
NADSYN1	545	349	411	406
NAE1	279	377	249	195
NAF1	46	58	34	46
NAGA	213	198	223	238
NAGK	444	646	390	743
NAGLU	97	77	115	156
NAGPA	136	64	127	74
NAGS	10	13	11	18
NAIF1	53	54	61	46
NAIP	1	0	0	0
NALCN	92	48	115	59
NANOS1	13	1	16	3
NANOS2	0	0	0	0
NANOS3	0	0	1	1
NANP	80	169	76	136
NAP1L2	0	0	0	0
NAP1L3	113	232	65	93
NAP1L4	539	738	525	776
NAP1L5	69	136	43	71
NAPA	530	605	531	810
NAPB	226	130	144	58
NAPEPLD	57	34	73	37
NAPG	89	156	43	75
NAPRT1	51	29	67	46
NAPSA	1	0	0	0
NARF	182	187	166	287
NARFL	59	68	73	75
NARG2	38	41	25	27
NARS	804	1057	758	679
NARS2	60	97	48	65
NASP	126	161	111	98
NAT1	9	9	4	3
NAT10	243	555	198	572
NAT14	65	62	66	104
NAT16	0	0	0	0
NAT2	1	0	0	0
NAT6	57	65	62	67
NAT9	79	113	72	103
NAV1	755	1755	595	1417
NAV2	321	1649	285	1086
NAV3	908	1523	757	416
NBAS	635	804	402	582
NBEAL1	365	323	151	74
NBEAL2	69	60	59	60
NBN	285	715	231	325
NBR1	2594	1647	1994	1258
NCALD	239	119	51	182
NCAM1	36	14	56	23
NCAM2	10	11	10	4
NCAN	0	0	1	0
NCAPD2	292	164	227	155
NCAPD3	174	328	145	241
NCAPG	11	47	12	14
NCAPH	2	20	6	10
NCAPH2	99	189	114	234
NCBP1	370	806	266	535
NCBP2	246	373	162	232
NCCRP1	0	0	0	0
NCDN	317	369	230	412
NCEH1	167	807	137	389
NCF2	5	19	4	9
NCK1	450	403	341	251
NCK2	266	254	280	188
NCKAP1	2353	2487	1603	1154
NCKAP1L	0	0	0	0
NCKAP5L	485	381	503	320
NCKIPSD	93	104	105	140
NCLN	190	584	190	583
NCOA1	491	278	367	185
NCOA2	693	333	364	174
NCOA3	886	424	507	218
NCOA4	85	105	51	74
NCOA5	322	296	292	368
NCOA6	613	472	452	327
NCOA7	274	120	186	50
NCOR2	998	1120	964	1233
NCR1	0	0	0	0
NCR2	0	0	0	0
NCR3	0	0	0	1
NCS1	791	1243	690	1227
NCSTN	1667	1267	1442	1176
NDC80	13	15	2	6
NDE1	177	126	147	130
NDEL1	19	30	20	29
NDFIP1	1167	980	1169	951
NDFIP2	548	588	500	291
NDN	400	406	194	251
NDNF	185	52	20	19
NDOR1	50	42	38	42
NDP	2	9	3	16
