geneName	h1_P	h2_P	h1_T12	h2_T12
AGPAT1	727	998	770	870
AGPAT2	49	72	51	70
AGPAT3	418	525	720	536
AGPAT4	70	68	70	77
AGPAT5	136	150	359	295
AGPAT6	390	465	429	428
AGPAT9	62	21	98	15
AGPHD1	7	6	1	10
AGPS	681	719	876	499
AGR2	1	0	0	0
AGR3	0	0	0	0
AGRN	128	119	190	116
AGRP	0	0	0	0
AGT	3	13	5	12
AGTPBP1	141	163	130	71
AGTR1	18	20	13	13
AGTR2	0	0	0	0
AGXT	0	0	0	0
AGXT2	0	0	0	1
AGXT2L1	0	1	0	0
AHCYL1	1856	1462	1898	1768
AHCYL2	173	136	129	107
AHDC1	283	323	289	246
AHI1	318	272	515	146
AHNAK	1307	1178	1129	714
AHR	1515	875	1217	433
AHSA1	620	721	1444	1582
AHSA2	172	237	142	48
AHSG	0	0	0	0
AHSP	0	0	0	0
AICDA	0	0	0	1
AIDA	2	1	0	3
AIF1	0	0	0	0
AIF1L	1	0	1	0
AIFM1	167	139	188	178
AIFM2	51	77	82	91
AIFM3	0	3	1	2
AIG1	84	71	103	107
AIM1	65	78	41	44
AIM1L	0	0	0	0
AIM2	0	0	0	0
AIMP1	363	414	668	240
AIMP2	49	54	63	103
AIP	273	368	227	468
AIPL1	0	0	0	0
AIRE	1	2	0	0
AJAP1	0	0	0	1
AJUBA	660	523	682	417
AK1	396	429	547	779
AK2	778	708	1208	1709
AK4	1	2	3	5
AK5	916	1199	751	557
AK7	1	0	3	2
AK8	2	4	2	3
AKAP1	166	215	293	226
AKAP10	330	325	319	243
AKAP12	1276	1034	2450	1382
AKAP13	989	734	637	434
AKAP14	0	0	1	0
AKAP3	7	5	4	2
AKAP6	143	824	42	260
AKAP7	53	86	19	21
AKAP8	68	73	68	59
AKAP9	613	338	749	131
AKD1	12	24	30	18
AKIP1	106	98	85	147
AKIRIN2	115	102	95	106
AKNA	200	190	77	60
AKNAD1	0	0	0	0
AKR1B1	525	382	374	380
AKR1C3	18	19	12	35
AKR1C4	0	0	0	0
AKR1D1	0	2	1	0
AKR1E2	18	50	22	53
AKT1	813	1162	1224	1713
AKT1S1	257	344	222	284
AKT2	567	595	650	651
AKT3	1179	1249	849	444
AKTIP	135	147	115	91
AL031653.1	0	0	0	0
AL035045.1	0	0	0	0
AL035467.1	0	0	0	0
AL035697.1	0	0	0	0
AL096700.1	0	0	0	0
AL157702.1	0	0	0	0
AL160037.1	0	0	0	0
AL162590.1	0	0	0	1
AL354984.1	0	0	0	0
AL355512.1	0	0	0	0
AL359815.1	0	0	0	0
AL359853.1	0	0	0	0
AL391152.1	77	85	130	23
AL451051.1	0	0	0	0
AL512791.1	0	0	0	0
AL589765.1	1	0	0	0
AL591708.1	0	0	0	0
ALAD	379	499	363	376
ALAS1	299	396	339	361
ALB	0	0	0	0
ALCAM	4800	7134	2333	2130
ALDH16A1	36	28	20	29
ALDH18A1	624	639	1442	1755
ALDH1A1	0	0	0	1
ALDH1A2	3	0	0	0
ALDH1A3	265	352	496	284
ALDH1B1	696	416	863	969
